niveau1,vondstnummer
Food Processing & Consumption,NZD1.00043CER116
Food Processing & Consumption,NZD1.00043CER119
Food Processing & Consumption,NZD1.00043CER120
Food Processing & Consumption,NZD1.00043CER125
Craft & Industry,NZD1.00043FAU015
Craft & Industry,NZD1.00043FAU034
Craft & Industry,NZD1.00043FAU036
Interiors & Accessories,NZD1.00043HT007
Interiors & Accessories,NZD1.00043HT011
Personal Artefacts & Clothing,NZD1.00043LEE009
Personal Artefacts & Clothing,NZD1.00043LEE010
Personal Artefacts & Clothing,NZD1.00043LEE011
Distribution & Transport,NZD1.00043MTL005-gw
Personal Artefacts & Clothing,NZD1.00043MTL011
Distribution & Transport,NZD1.00043MTL013
Distribution & Transport,NZD1.00043MTL031
Personal Artefacts & Clothing,NZD1.00043MTL033
Craft & Industry,NZD1.00043TXT001
Food Processing & Consumption,NZD1.00044CER001
Food Processing & Consumption,NZD1.00044CER023
Food Processing & Consumption,NZD1.00044CER027
Food Processing & Consumption,NZD1.00044CER030
Food Processing & Consumption,NZD1.00044CER035
Food Processing & Consumption,NZD1.00044CER039
Food Processing & Consumption,NZD1.00044CER040
Food Processing & Consumption,NZD1.00044CER043
Food Processing & Consumption,NZD1.00044CER044
Food Processing & Consumption,NZD1.00044CER045
Food Processing & Consumption,NZD1.00044CER050
Food Processing & Consumption,NZD1.00044CER065
Food Processing & Consumption,NZD1.00044CER073
Food Processing & Consumption,NZD1.00044CER077
Interiors & Accessories,NZD1.00044GLS009
Interiors & Accessories,NZD1.00044HT004
Interiors & Accessories,NZD1.00044HT006
Food Processing & Consumption,NZD1.00044HT007
Personal Artefacts & Clothing,NZD1.00044HT010
Personal Artefacts & Clothing,NZD1.00044LEE004
Food Processing & Consumption,NZD1.00044MTL001
Craft & Industry,NZD1.00044TXT001
Food Processing & Consumption,NZD1.00045CER001
Food Processing & Consumption,NZD1.00045CER002
Food Processing & Consumption,NZD1.00045CER010
Food Processing & Consumption,NZD1.00045CER012
Food Processing & Consumption,NZD1.00045CER013
Food Processing & Consumption,NZD1.00045CER022
Food Processing & Consumption,NZD1.00045CER026
Food Processing & Consumption,NZD1.00045CER029
Food Processing & Consumption,NZD1.00045CER033
Food Processing & Consumption,NZD1.00045CER035
Food Processing & Consumption,NZD1.00045CER039
Food Processing & Consumption,NZD1.00045CER040
Food Processing & Consumption,NZD1.00045CER043
Food Processing & Consumption,NZD1.00045CER045
Food Processing & Consumption,NZD1.00045CER046
Food Processing & Consumption,NZD1.00045CER047
Food Processing & Consumption,NZD1.00045CER048
Personal Artefacts & Clothing,NZD1.00045CER049
Personal Artefacts & Clothing,NZD1.00045LEE001
Distribution & Transport,NZD1.00045MTL002
Food Processing & Consumption,NZD1.00046CER001
Food Processing & Consumption,NZD1.00046CER002
Food Processing & Consumption,NZD1.00046CER013
Food Processing & Consumption,NZD1.00046CER028
Food Processing & Consumption,NZD1.00046CER030
Food Processing & Consumption,NZD1.00046CER035
Food Processing & Consumption,NZD1.00046CER039
Food Processing & Consumption,NZD1.00046CER041
Food Processing & Consumption,NZD1.00046CER042
Food Processing & Consumption,NZD1.00046CER047
Food Processing & Consumption,NZD1.00046CER049
Food Processing & Consumption,NZD1.00046CER051
Food Processing & Consumption,NZD1.00046CER067
Food Processing & Consumption,NZD1.00046CER068
Food Processing & Consumption,NZD1.00046CER069
Food Processing & Consumption,NZD1.00046CER070
Food Processing & Consumption,NZD1.00046CER071
Food Processing & Consumption,NZD1.00046CER072
Food Processing & Consumption,NZD1.00046CER077
Craft & Industry,NZD1.00046FAU005
Craft & Industry,NZD1.00046FAU006
Interiors & Accessories,NZD1.00046GLS004
Personal Artefacts & Clothing,NZD1.00046LEE003
Personal Artefacts & Clothing,NZD1.00046LEE005
Distribution & Transport,NZD1.00046MTL001
Craft & Industry,NZD1.00046TXT001
Food Processing & Consumption,NZD1.00047CER001
Food Processing & Consumption,NZD1.00047CER008
Food Processing & Consumption,NZD1.00047CER010
Food Processing & Consumption,NZD1.00047CER023
Food Processing & Consumption,NZD1.00047CER024
Food Processing & Consumption,NZD1.00047CER030
Food Processing & Consumption,NZD1.00047GLS002
Distribution & Transport,NZD1.00047MTL001
Distribution & Transport,NZD1.00047MTL017
Distribution & Transport,NZD1.00047MTL018
Food Processing & Consumption,NZD1.00048CER001
Food Processing & Consumption,NZD1.00048CER002
Food Processing & Consumption,NZD1.00048CER013
Food Processing & Consumption,NZD1.00048CER023
Food Processing & Consumption,NZD1.00048CER024
Food Processing & Consumption,NZD1.00048CER025
Food Processing & Consumption,NZD1.00048CER055
Food Processing & Consumption,NZD1.00048CER057
Food Processing & Consumption,NZD1.00048CER058
Food Processing & Consumption,NZD1.00048CER059
Food Processing & Consumption,NZD1.00048CER061
Food Processing & Consumption,NZD1.00048CER062
Food Processing & Consumption,NZD1.00048CER064
Personal Artefacts & Clothing,NZD1.00048LEE005
Personal Artefacts & Clothing,NZD1.00048LEE010
Personal Artefacts & Clothing,NZD1.00048LEE015
